"Record ID","Contributor","Contributor aliases","Title","Title aliases","Year","Publisher","ISBN","Canon sources","Collectibility tier","Search priority","First edition notes","Strong buy GBP","Bargain GBP","Evidence confidence","Source","Search tier","Collector profile","Documentary relevance","First monograph","Collectible variants","Special edition priority","Awards and evidence"
"contemporary:tish-murtha-youth-unemployment","Tish Murtha","Patricia Anne Murtha","Youth Unemployment","","2017","Bluecoat Press","","Curated contemporary documentary","A","0","Original Bluecoat Press edition is out of print; verify printing and condition.","","","HIGH","https://bluecoatpress.co.uk/","CORE","British social documentary | youth | unemployment | Tyneside | class","HIGH","NO","Out-of-print first edition | signed copies are unlikely and require strong provenance","HIGH","Bluecoat Press describes it as a key body of work in British documentary history"
"contemporary:jesse-glazzard-sound-of-dirt","Jesse Glazzard","","The Sound of Dirt and Beauty","Sound of Dirt and Beauty","2026","SPBH Editions","9781917651721","Curated contemporary documentary","B","1","First book, published August 2026 as a stapled screen-printed publication; verify first printing and completeness.","","","HIGH","https://mackbooks.co.uk/products/the-sound-of-dirt-and-beauty-jesse-glazzard","CORE","British working-class documentary | queer community | intimacy | contemporary life","HIGH","YES","First printing with screen-printed zine-like construction | signed or inscribed copies require provenance","MEDIUM","Publisher-documented first book by a British photographer, made over a decade among friends, lovers and collaborators"
"contemporary:craig-easton-bank-top","Craig Easton","Craig Easton and Abdul Aziz Hafiz","Bank Top","BANK TOP","2022","GOST Books","9781910401682","Curated contemporary documentary | Rencontres d'Arles and Paris Photo-Aperture shortlisted","A","0","Target the September 2022 GOST first edition; special issue is signed and numbered and includes a print.","","","HIGH","https://gostbooks.com/products/bank-top-special-edition-1","CORE","British social documentary | northern communities | class | migration | collaborative testimony","HIGH","YES","Sold-out special edition of 50 with a signed and numbered 9.5 x 12 inch silver gelatin print","HIGH","Rencontres d'Arles Author Book Award shortlist 2022 | Paris Photo-Aperture First PhotoBook shortlist 2022 | Sony Photographer of the Year 2021"
"contemporary:paul-reas-fables-of-faubus","Paul Reas","","Fables of Faubus","","2018","GOST Books","","Curated contemporary documentary","A","0","Original GOST edition published December 2018; verify complete collector housing and all four prints on the special issue.","","","HIGH","https://gostbooks.com/products/fables-of-faubus-special-edition","CORE","British social documentary | working class | industry | consumer culture | Wales","HIGH","NO","Sold-out collector's edition of 50 in a wallpaper-bound book and cloth box with four signed and numbered prints","HIGH","Career retrospective by a major British documentary photographer with work in institutional collections"
"contemporary:daniel-meadows-book-of-the-road","Daniel Meadows","","Book of the Road","Free Photographic Omnibus","2023","Bluecoat Press","","Curated contemporary documentary","A","0","Target the 2023 Bluecoat first edition; special issue requires its signed book and print.","","","HIGH","https://bluecoatpress.co.uk/product/book-of-the-road-special-edition/","CORE","British social documentary | community | 1970s England | portraiture | oral history","HIGH","NO","Signed first edition with one of four signed digital silver gelatin prints, each print in an edition of 25 | complete four-print set","HIGH","Published with a major Centre for British Photography solo exhibition | landmark Free Photographic Omnibus project"
"contemporary:janine-wiedel-vulcans-forge","Janine Wiedel","","Vulcan's Forge","Vulcans Forge","","Bluecoat Press","","Curated contemporary documentary","A","0","Target the first Bluecoat book edition; distinguish signed trade and signed book-plus-print special issues.","","","HIGH","https://bluecoatpress.co.uk/product/vulcans-forge-special-edition/","CORE","British social documentary | labour | deindustrialisation | West Midlands | humanist photography","HIGH","NO","Signed special edition with a choice of four signed 10 x 8 inch archival pigment prints","HIGH","Project was critically acclaimed at The Photographers' Gallery in 1979 | photographer has five decades of internationally exhibited documentary work"
"contemporary:mike-abrahams-this-was-then","Mike Abrahams","","This Was Then","","2026","Bluecoat Press","","Curated contemporary documentary","A","0","First career-spanning edition, listed as forthcoming in 2026; distinguish trade, signed and book-plus-print issues.","","","HIGH","https://bluecoatpress.co.uk/product/this-was-then-special-edition/","CORE","British social documentary | class | Northern Ireland | everyday life | marginalised communities","HIGH","NO","Signed special edition with a choice of four signed 10 x 8 inch archival pigment prints | complete four-print set","HIGH","First career-spanning book by a World Press Photo-winning British documentary photographer and Network Photographers co-founder"
"contemporary:kirsty-mackay-magic-money-tree","Kirsty Mackay","","The Magic Money Tree","Magic Money Tree","","Bluecoat Press","","Curated contemporary documentary","A","0","Target the first Bluecoat edition; distinguish unsigned, signed and signed book-plus-print issues.","","","HIGH","https://bluecoatpress.co.uk/product/the-magic-money-tree-special-edition/","CORE","British social documentary | poverty | children | welfare | collaborative practice","HIGH","NO","Signed special edition with a choice of four signed 10 x 8 inch archival pigment prints","HIGH","Contemporary participatory study of poverty and welfare decline, supported by testimony from Ken Loach"
"contemporary:don-mccullin-life-death","Don McCullin","","Life, Death and Everything in Between","Life Death and Everything in Between","2023","GOST Books","9781915423252","Curated contemporary documentary","S","0","Trade book published November 2023; distinguish the October 2025 special edition of 12.","","","HIGH","https://gostbooks.com/products/life-death-and-everything-in-between-special-edition","CORE","British documentary | conflict | poverty | landscape | career survey","HIGH","NO","2025 special edition of 12 in a clamshell box with signed book and a 16 x 20 inch darkroom-printed silver gelatin print","HIGH","Career survey by one of Britain's most respected documentary photographers | publisher-documented edition of only 12"
"contemporary:don-mccullin-vietnam","Don McCullin","","Vietnam","Don McCullin Vietnam","2026","GOST Books","9781805980476 | 9781805980513","Curated contemporary documentary","S","0","Publication scheduled for October 2026; distinguish signed trade ISBN 9781805980476 from special-edition ISBN 9781805980513.","","","HIGH","https://gostbooks.com/products/vietnam-don-mccullin-special-edition","CORE","British documentary | war | Vietnam | photojournalism | archive","HIGH","NO","Signed trade edition | clamshell special edition with signed book and one of three darkroom prints | black-and-white print issue limited to 10","HIGH","First McCullin book devoted solely to Vietnam and described by the photographer as his last book"
"contemporary:matt-stuart-all-that-life","Matt Stuart","","All That Life Can Afford","","","Bluecoat Press","","Curated contemporary documentary","A","0","The current Bluecoat issue is a redesigned third edition; do not confuse it with the earlier collectible first edition.","","","HIGH","https://bluecoatpress.co.uk/product/all-that-life-can-afford-special-print-edition/","CORE","British street documentary | London | everyday life | colour","HIGH","NO","Third-edition special issue with signed book and a choice of four signed 10 x 8 inch archival pigment prints | complete four-print set","HIGH","Acclaimed London street-photography title by an internationally recognised British photographer"
